Date,Name,Year,Letterboxd URI
2016-11-27,Fantastic Beasts and Where to Find Them,2016,https://boxd.it/7FPC
2017-03-28,Queen of Katwe,2016,https://boxd.it/agW0
2017-03-28,Sicario,2015,https://boxd.it/8i7u
2017-03-28,Blue Is the Warmest Color,2013,https://boxd.it/4O40
2017-03-28,The Garden of Words,2013,https://boxd.it/5Ymq
2017-03-28,Cloud Atlas,2012,https://boxd.it/2W60
2017-03-28,Mud,2012,https://boxd.it/3wPA
2017-03-28,The Hunt,2012,https://boxd.it/3wEC
2017-03-28,Beasts of the Southern Wild,2012,https://boxd.it/2XPK
2017-03-29,Insidious,2010,https://boxd.it/H4k
2017-03-29,The Illusionist,2010,https://boxd.it/ZWY
2017-03-29,The Wolfman,2010,https://boxd.it/20IU
2017-03-29,A Cat in Paris,2010,https://boxd.it/zqi
2017-03-29,District 9,2009,https://boxd.it/1Iik
2017-03-29,Watchmen,2009,https://boxd.it/1QE4
2017-03-29,Mary and Max,2009,https://boxd.it/1y2m
2017-03-29,The X Files: I Want to Believe,2008,https://boxd.it/1ZN0
2017-03-29,No Country for Old Men,2007,https://boxd.it/21ew
2017-03-29,There Will Be Blood,2007,https://boxd.it/20Z2
2017-03-31,Grindhouse,2007,https://boxd.it/8RwY
2017-03-31,Secrets from Another Place: Creating Twin Peaks,2007,https://boxd.it/gJ6u
2017-03-31,Before Midnight,2013,https://boxd.it/4ive
2017-03-31,O.J.: Made in America,2016,https://boxd.it/d7zi
2017-04-29,Done the Impossible,2006,https://boxd.it/1fDe
2017-04-29,Sin City,2005,https://boxd.it/2aVk
2017-04-29,A History of Violence,2005,https://boxd.it/2bfa
2017-04-29,Before Sunset,2004,https://boxd.it/2bcg
2017-04-29,Million Dollar Baby,2004,https://boxd.it/2bdI
2017-04-29,Requiem for a Dream,2000,https://boxd.it/29VI
2017-04-29,L.A. Confidential,1997,https://boxd.it/27oC
2017-04-29,Trainspotting,1996,https://boxd.it/29XY
2017-04-29,Before Sunrise,1995,https://boxd.it/2bcU
2017-04-29,What's Eating Gilbert Grape,1993,https://boxd.it/28xg
2017-04-29,Brazil,1985,https://boxd.it/2be2
2017-04-29,Mad Max,1979,https://boxd.it/1Y7i
2017-04-29,Rosemary's Baby,1968,https://boxd.it/29zM
2017-04-29,Butch Cassidy and the Sundance Kid,1969,https://boxd.it/29Vy
2017-04-29,Lolita,1962,https://boxd.it/29Ag
2017-04-29,Bonnie and Clyde,1967,https://boxd.it/2ajg
2017-04-29,The Day the Earth Stood Still,1951,https://boxd.it/29w4
2017-04-29,Sita Sings the Blues,2008,https://boxd.it/1DkU
2017-04-29,Selma,2014,https://boxd.it/8jak
2017-04-29,Victor/Victoria,1995,https://boxd.it/5qpU
2017-04-29,Clouds of Sils Maria,2014,https://boxd.it/7f62
2017-04-29,The Myth of the American Sleepover,2010,https://boxd.it/2t9u
2017-04-29,The Rocky Horror Picture Show: Let's Do the Time Warp Again,2016,https://boxd.it/d7H2
2017-04-29,Arjun: The Warrior Prince,2012,https://boxd.it/3TTq
2017-04-29,Zyzzyx Road,2006,https://boxd.it/Zts
2017-04-29,Safety Last!,1923,https://boxd.it/1AkW
2017-04-29,Miss Meadows,2014,https://boxd.it/7K6i
2017-04-29,On Your Mark,1995,https://boxd.it/1Vgm
2017-04-29,Kirikou and the Sorceress,1998,https://boxd.it/1C3y
2017-04-29,The Adventures of Prince Achmed,1926,https://boxd.it/1FeY
2017-04-29,World's Greatest Dad,2009,https://boxd.it/1DVG
2017-04-29,In the Mood for Love,2000,https://boxd.it/29tE
2017-04-29,The Devil's Backbone,2001,https://boxd.it/28Li
2017-04-29,Kanto Wanderer,1963,https://boxd.it/VYm
2017-04-29,Tokyo Story,1953,https://boxd.it/1HuY
2017-04-29,Miles Ahead,2015,https://boxd.it/acfm
2017-04-29,The Salesman,2016,https://boxd.it/d2we
2017-04-29,Land of Mine,2015,https://boxd.it/b5ee
2017-05-04,Love & Peace,2015,https://boxd.it/b9RE
2017-05-13,Free Fire,2016,https://boxd.it/b2Ig
2017-05-13,Colossal,2016,https://boxd.it/biZi
2017-05-13,I Am Not Your Negro,2016,https://boxd.it/etXy
2017-05-13,A Separation,2011,https://boxd.it/gvo
2017-05-13,The Trip,2010,https://boxd.it/6Bc
2017-05-13,Brief Encounter,1945,https://boxd.it/29sm
2017-05-13,Do the Right Thing,1989,https://boxd.it/29gA
2017-05-13,Bye Bye Brazil,1980,https://boxd.it/Xzo
2017-11-07,Boy,2010,https://boxd.it/13RS
2017-11-07,Poi E: The Story of Our Song,2016,https://boxd.it/dKBM
2017-12-05,The Holy Mountain,1973,https://boxd.it/20mu
2017-12-29,Still Walking,2008,https://boxd.it/1wvm
2018-01-12,Angels in the Outfield,1951,https://boxd.it/PaK
2018-03-05,Filth,2013,https://boxd.it/32NY
2018-03-05,Clown,2014,https://boxd.it/3LJ8
2018-03-08,Mission to Mars,2000,https://boxd.it/27w2
2018-03-17,Mulholland Drive,2001,https://boxd.it/297o
2018-03-17,Boy Meets Girl,2015,https://boxd.it/7Pde
2018-03-27,Valerie and Her Week of Wonders,1970,https://boxd.it/NsC
2018-04-01,Gray Matters,2006,https://boxd.it/1Ngy
2018-04-11,Milk,2008,https://boxd.it/1WZC
2018-04-20,Aliens,1986,https://boxd.it/29PA
2018-04-20,All at Sea,1933,https://boxd.it/4f5s
2018-04-20,All Monsters Attack,1969,https://boxd.it/13Co
2018-04-20,"Another Day, Another Time: Celebrating the Music of ""Inside Llewyn Davis""",2013,https://boxd.it/7894
2018-04-20,Apocalypse Now,1979,https://boxd.it/6ZS
2018-04-20,Attack of the 50 Ft. Woman,1993,https://boxd.it/2Az0
2018-04-20,Band of Brothers,2001,https://boxd.it/aRNY
2018-04-20,Bath Day,1946,https://boxd.it/47hK
2018-04-20,Battle Royale,2000,https://boxd.it/25zS
2018-04-20,Blood Diamond,2006,https://boxd.it/28Tm
2018-04-20,Born to Fight,2004,https://boxd.it/1WHS
2018-04-20,The Bourne Supremacy,2004,https://boxd.it/26EE
2018-04-20,The Bourne Ultimatum,2007,https://boxd.it/26Eu
2018-04-20,Close Encounters of the Third Kind,1977,https://boxd.it/29u8
2018-04-20,Creed,2015,https://boxd.it/a2qk
2018-04-20,Cricket on the Hearth,1967,https://boxd.it/Fj8
2018-05-24,Friday,1995,https://boxd.it/1VLO
2018-07-01,Smoke Signals,1998,https://boxd.it/1CO0
2018-07-19,First Reformed,2017,https://boxd.it/go9C
2018-07-19,Paddington 2,2017,https://boxd.it/bCF8
2018-07-19,The Tale,2018,https://boxd.it/cOkI
2018-07-23,Ikiru,1952,https://boxd.it/251c
2018-08-11,Double Dare,2004,https://boxd.it/1F8m
2018-08-12,True North,2017,https://boxd.it/jjvu
2018-08-14,Eyes Wide Shut,1999,https://boxd.it/2axs
2018-08-14,Three Colors: Blue,1993,https://boxd.it/2b7K
2018-08-14,Magnolia,1999,https://boxd.it/2aze
2018-08-16,My Breakfast with Blassie,1983,https://boxd.it/6tM
2018-08-21,Not Wanted,1949,https://boxd.it/48Xs
2018-08-21,No. 5 Checked Out,1956,https://boxd.it/j98q
2018-08-21,The Trouble with Angels,1966,https://boxd.it/15Do
2018-08-21,Lust for Gold,1949,https://boxd.it/3ho0
2018-08-23,Point Break,1991,https://boxd.it/2958
2018-08-23,Little Nemo: Adventures in Slumberland,1989,https://boxd.it/1Aju
2018-08-24,Dick Tracy,1990,https://boxd.it/201w
2018-08-25,Madonna: Truth or Dare,1991,https://boxd.it/1WTY
2018-08-25,Last Tango in Paris,1972,https://boxd.it/28pw
2018-08-25,A Fool There Was,1915,https://boxd.it/15kQ
2018-09-03,Phantom of the Paradise,1974,https://boxd.it/1s34
2018-09-14,The Flight of Dragons,1982,https://boxd.it/1saO
2018-09-15,Rurouni Kenshin Part I: Origins,2012,https://boxd.it/4aIO
2018-09-15,Rurouni Kenshin Part II: Kyoto Inferno,2014,https://boxd.it/6zM6
2018-09-15,Rurouni Kenshin Part III: The Legend Ends,2014,https://boxd.it/6zMg
2018-09-19,Breathe,2014,https://boxd.it/87L4
2018-09-19,Boys in Brazil,2014,https://boxd.it/7Otg
2018-09-20,Burying the Ex,2014,https://boxd.it/7xnq
2018-09-30,Goodbye Christopher Robin,2017,https://boxd.it/eMZS
2018-10-01,Angel Heart,1987,https://boxd.it/29WG
2018-10-01,Before I Wake,2016,https://boxd.it/9BgC
2018-10-01,Black Mountain Side,2014,https://boxd.it/813g
2018-10-01,The Blood on Satan's Claw,1971,https://boxd.it/1td0
2018-10-01,The Brain That Wouldn't Die,1962,https://boxd.it/1fqO
2018-10-01,Carnage Park,2016,https://boxd.it/cN9k
2018-10-01,The Carpenter,1988,https://boxd.it/2S3w
2018-10-01,Cast a Deadly Spell,1991,https://boxd.it/2jwo
2018-10-01,Circle,2015,https://boxd.it/b5So
2018-10-01,Creep,2014,https://boxd.it/7l4c
2018-10-01,Dark Water,2002,https://boxd.it/1Sik
2018-10-01,Deathgasm,2015,https://boxd.it/avNs
2018-10-01,The Devil and Father Amorth,2017,https://boxd.it/glOi
2018-10-01,Extraordinary Tales,2013,https://boxd.it/aL0c
2018-10-01,Gerald's Game,2017,https://boxd.it/buKa
2018-10-01,The Girl with All the Gifts,2016,https://boxd.it/d2lg
2018-10-01,The Halloween Tree,1993,https://boxd.it/Og8
2018-10-01,Hellions,2015,https://boxd.it/76Yk
2018-10-01,The Hills Have Eyes,1977,https://boxd.it/1Sa6
2018-10-01,The Hitcher,1986,https://boxd.it/1Yq0
2018-10-01,The Houses October Built 2,2017,https://boxd.it/gHkE
2018-10-01,Häxan,1922,https://boxd.it/n4O
2018-10-01,I Saw the Devil,2010,https://boxd.it/FaK
2018-10-01,Jacob's Ladder,1990,https://boxd.it/270g
2018-10-01,Late Phases,2014,https://boxd.it/7t3G
2018-10-01,Maniac,1934,https://boxd.it/1zD4
2018-10-01,Mimic,1997,https://boxd.it/23zm
2018-10-01,The Most Dangerous Game,1932,https://boxd.it/27Gc
2018-10-01,Mutant Chronicles,2008,https://boxd.it/1QwE
2018-10-01,The Night of the Hunter,1955,https://boxd.it/25HW
2018-10-01,Phenomena,1985,https://boxd.it/1o4s
2018-10-01,Pumpkinhead,1988,https://boxd.it/1tJq
2018-10-01,Rift,2017,https://boxd.it/fDx8
2018-10-01,Shivers,1975,https://boxd.it/1rPG
2018-10-01,The Town that Dreaded Sundown,2014,https://boxd.it/8UuQ
2018-10-01,Trick 'r Treat,2007,https://boxd.it/1zvE
2018-10-01,V/H/S/2,2013,https://boxd.it/4Ysw
2018-10-01,The Voices,2014,https://boxd.it/7b3S
2018-10-01,We Are What We Are,2013,https://boxd.it/4Ytk
2018-10-01,Wendigo,2001,https://boxd.it/Scu
2018-10-01,X: The Man with the X-Ray Eyes,1963,https://boxd.it/1gVI
2018-10-22,The Worst Witch,1986,https://boxd.it/1ypg
2018-10-26,Twentieth Century,1934,https://boxd.it/1ifE
2018-10-26,My Man Godfrey,1936,https://boxd.it/1PTC
2018-10-26,To Be or Not to Be,1942,https://boxd.it/2aTy
2018-10-26,Nothing Sacred,1937,https://boxd.it/17Qa
2018-10-30,Leprechaun,1993,https://boxd.it/1T2i
2018-11-05,The Kid Who Would Be King,2019,https://boxd.it/gcz4
2018-11-12,Beautiful Boy,2018,https://boxd.it/g76Q
2018-11-25,Central Station,1998,https://boxd.it/29RG
2018-11-25,The Boy in the Mirror,2014,https://boxd.it/7tI0
2018-11-25,Neighboring Sounds,2012,https://boxd.it/3nzS
2018-11-25,Trash,2014,https://boxd.it/6bR2
2018-11-25,A Wolf at the Door,2013,https://boxd.it/6nHy
2018-11-25,Futuro Beach,2014,https://boxd.it/6Jcs
2018-11-25,Rio 2096: A Story of Love and Fury,2013,https://boxd.it/5kIG
2018-11-25,The Bandit,1953,https://boxd.it/2fmu
2018-11-25,The Given Word,1962,https://boxd.it/h6Y
2018-11-25,Barren Lives,1963,https://boxd.it/29uM
2018-11-25,"Black God, White Devil",1964,https://boxd.it/2fmY
2018-11-25,Entranced Earth,1967,https://boxd.it/qkU
2018-11-25,Antonio das Mortes,1969,https://boxd.it/2Bcm
2018-11-25,Di Cavalcanti,1977,https://boxd.it/2B9W
2018-11-25,Memories of Prison,1984,https://boxd.it/4nhm
2018-11-25,Love Me Forever or Never,1986,https://boxd.it/2AvM
2018-11-25,The Quartet,1995,https://boxd.it/2fma
2018-11-25,Four Days in September,1997,https://boxd.it/1Cd4
2018-11-25,Carandiru,2003,https://boxd.it/209g
2018-11-25,Aquarius,2016,https://boxd.it/d6YQ
2018-11-25,Cinema Novo,2016,https://boxd.it/dXmK
2018-11-25,Elite Squad: The Enemy Within,2010,https://boxd.it/Jx4
2018-11-25,Lisbela and the Prisoner,2003,https://boxd.it/zdS
2018-11-25,Kiss of the Spider Woman,1985,https://boxd.it/1Tci
2018-11-25,The Man Who Copied,2003,https://boxd.it/10Rg
2018-11-25,Elena,2012,https://boxd.it/51jC
2018-12-01,Tusk,2014,https://boxd.it/7eoa
2018-12-01,Carlito's Way,1993,https://boxd.it/226e
2019-01-13,Theodore Rex,1995,https://boxd.it/1aY2
2019-01-27,Papillon,1973,https://boxd.it/22kK
2019-01-27,Papillon,2017,https://boxd.it/fnvK
2019-01-27,Garrincha: Joy of the People,1962,https://boxd.it/56cw
2019-01-27,Garrincha: Lonely Star,2003,https://boxd.it/gA4
2019-01-27,Gods of Brazil: Pelé & Garrincha,2002,https://boxd.it/6ekU
2019-02-04,Our Little Sister,2015,https://boxd.it/abBm
2019-02-04,"Like Father, Like Son",2013,https://boxd.it/5rQs
2019-02-11,Venice 70: Future Reloaded,2013,https://boxd.it/6yhc
2019-02-11,Dogtooth,2009,https://boxd.it/158K
2019-02-11,Alps,2011,https://boxd.it/2RHg
2019-02-11,My Best Friend,2001,https://boxd.it/5kuu
2019-02-11,The Farewell,2019,https://boxd.it/kIky
2019-02-14,Helvetica,2007,https://boxd.it/1Qn8
2019-02-26,Beaches,1988,https://boxd.it/1LUQ
2019-03-09,Tangerine,2015,https://boxd.it/9QRe
2019-03-17,Begin Again,2013,https://boxd.it/5Ybs
2019-05-19,Fast Color,2018,https://boxd.it/g3wg
2019-06-02,Stage Fright,2014,https://boxd.it/4V1M
2019-08-11,Scorpio Rising,1963,https://boxd.it/Mks
2019-08-11,Mouse Heaven,2004,https://boxd.it/3O9W
2019-08-11,Lucifer Rising,1972,https://boxd.it/1blq
2019-08-11,Fingersmith,2005,https://boxd.it/d4v8
2019-09-02,Neerja,2016,https://boxd.it/d6kc
2019-10-23,Paprika,2006,https://boxd.it/23wW
2019-11-20,Salt of the Earth,1954,https://boxd.it/1yZe
2020-01-01,Batman: Under the Red Hood,2010,https://boxd.it/11eE
2020-01-01,Barefoot Gen,1983,https://boxd.it/1OMK
2020-01-01,Detective Conan: The Phantom of Baker Street,2002,https://boxd.it/1tqo
2020-01-01,Redline,2009,https://boxd.it/2pQ0
2020-01-01,Tekkonkinkreet,2006,https://boxd.it/1Pui
2020-01-01,When the Wind Blows,1986,https://boxd.it/1VdC
2020-01-01,A Town Called Panic,2009,https://boxd.it/11ki
2020-01-01,The Wolf House,2018,https://boxd.it/i1vE
2020-01-01,The Triplets of Belleville,2003,https://boxd.it/1Y6Y
2020-01-01,Perfect Blue,1997,https://boxd.it/1W7A
2020-01-01,Son of the White Mare,1981,https://boxd.it/10f2
2020-01-01,Batman: The Dark Knight Returns,2013,
2020-01-01,"Night Is Short, Walk on Girl",2017,https://boxd.it/ffwA
2020-01-01,Mind Game,2004,https://boxd.it/1Bv2
2020-01-01,Angel's Egg,1985,https://boxd.it/1LeA
2020-01-01,The Pinchcliffe Grand Prix,1975,https://boxd.it/hJe6
2020-01-01,Waltz with Bashir,2008,https://boxd.it/1ZFA
2020-01-01,Batman: Mask of the Phantasm,1993,https://boxd.it/1N6S
2020-01-01,Liz and the Blue Bird,2018,https://boxd.it/hksW
2020-01-01,Promare,2019,https://boxd.it/keFQ
2020-01-01,Cowboy Bebop: The Movie,2001,https://boxd.it/1Uc4
2020-01-01,In This Corner of the World,2016,https://boxd.it/d9kY
2020-01-01,Hotarubi no Mori e,2011,https://boxd.it/3euO
2020-01-01,Revolutionary Girl Utena: The Adolescence of Utena,1999,https://boxd.it/1EBM
2020-01-01,The Twelve Tasks of Asterix,1976,https://boxd.it/1YOG
2020-01-01,Dou kyu sei – Classmates,2016,https://boxd.it/cW8g
2020-01-01,Azur & Asmar: The Princes' Quest,2006,https://boxd.it/1FQy
2020-01-01,Alice,1988,https://boxd.it/1G3C
2020-01-01,The Plague Dogs,1982,https://boxd.it/1m38
2020-01-31,Tammy and the T-Rex,1994,https://boxd.it/rwW
2020-02-14,The Great Santa Claus Switch,1970,https://boxd.it/6h8C
2020-02-29,The King and the Mockingbird,1980,https://boxd.it/1At0
2020-02-29,Princes and Princesses,2000,https://boxd.it/3eE
2020-02-29,An American in Paris,1951,https://boxd.it/26kY
2020-02-29,All About Eve,1950,https://boxd.it/29LI
2020-02-29,Gigi,1958,https://boxd.it/1IT6
2020-02-29,The French Dispatch,,https://boxd.it/jLP8
2020-02-29,West Side Story,2021,https://boxd.it/iwt0
2020-02-29,The Woman Who Ran,2020,https://boxd.it/oEEi
2020-02-29,Candyman,2021,https://boxd.it/kHFg
2020-02-29,Godzilla vs. Kong,2021,https://boxd.it/e0qK
2020-02-29,Elisa & Marcela,2019,https://boxd.it/jukM
2020-02-29,Two of Us,2019,https://boxd.it/n0Ay
2020-02-29,Barbie,,https://boxd.it/bCLK
2020-03-02,Stop Making Sense,1984,https://boxd.it/1ygo
2020-03-26,The Mermaid,2016,https://boxd.it/di0S
2020-04-05,Vita & Virginia,2018,https://boxd.it/fUIW
2020-04-11,How to Build a Girl,2019,https://boxd.it/l0wW
2020-04-18,The Hudsucker Proxy,1994,https://boxd.it/1SJA
2020-04-24,True Stories,1986,https://boxd.it/1wXU
2020-05-18,Zabriskie Point,1970,https://boxd.it/25Yy
2020-05-19,Skate Kitchen,2018,https://boxd.it/hI3Q
2020-05-19,When Knighthood Was in Flower,1922,https://boxd.it/vGw
2020-05-19,The Patsy,1928,https://boxd.it/x6g
2020-05-19,Show People,1928,https://boxd.it/1jbe
2020-05-19,Blood Simple,1984,https://boxd.it/1U16
2020-05-19,The Man Who Wasn't There,2001,https://boxd.it/1Vqc
2020-05-19,Intolerable Cruelty,2003,https://boxd.it/1T7i
2020-05-19,The Ladykillers,2004,https://boxd.it/22Z4
2020-05-19,To Each His Own Cinema,2007,https://boxd.it/1bju
2020-05-19,Rififi,1955,https://boxd.it/29f8
2020-05-21,Bombshell,1933,https://boxd.it/U48
2020-05-22,Girl 27,2007,https://boxd.it/gTg
2020-05-26,"Scotland, PA",2001,https://boxd.it/1rrE
2020-06-24,Spider Baby,1967,https://boxd.it/1pri
2020-06-29,Jewel's Catch One,2016,https://boxd.it/ezhS
2020-07-05,5 Centimeters per Second,2007,https://boxd.it/16G4
2020-07-05,The Place Promised in Our Early Days,2004,https://boxd.it/1R3I
2020-07-13,Mission Mangal,2019,https://boxd.it/mBBc
2020-07-14,Alena,2015,https://boxd.it/bEu2
2020-07-28,"Yes, Madam",1985,https://boxd.it/13EE
2020-08-01,D.E.B.S.,2004,https://boxd.it/2aaS
2020-08-01,D.E.B.S.,2003,https://boxd.it/5sBy
2020-08-01,All Over Me,1997,https://boxd.it/1RdI
2020-08-01,Women in Revolt,1971,https://boxd.it/3LpW
2020-08-01,MURDER and murder,1996,https://boxd.it/emso
2020-08-02,The Departed,2006,https://boxd.it/28MA
2020-08-02,In the Heat of the Night,1967,https://boxd.it/1VLY
2020-08-02,Manchester by the Sea,2016,https://boxd.it/b2L0
2020-08-02,Jackie Brown,1997,https://boxd.it/2aVO
2020-08-02,Yojimbo,1961,https://boxd.it/1SRY
2020-08-02,The Big Sleep,1946,https://boxd.it/29iQ
2020-08-06,Hard Candy,2005,https://boxd.it/26vs
2020-08-08,The Bedside Detective,2007,https://boxd.it/2DKq
2020-08-15,The Cabinet of Dr. Caligari,1920,https://boxd.it/2aOo
2020-08-15,House of Hummingbird,2018,https://boxd.it/jZ8C
2020-08-17,Captain Marvel 2,2022,https://boxd.it/mwU4
2020-08-19,Thelma,2017,https://boxd.it/e7Ce
2020-08-19,Red Shoes And The Seven Dwarfs,2019,https://boxd.it/hv5Y
2020-09-14,The VelociPastor,2018,https://boxd.it/glzW
2020-09-25,Ana e Vitória,2018,https://boxd.it/jjAa
2020-09-30,Eraserhead,1977,https://boxd.it/299u
2020-10-01,Yentl,1983,https://boxd.it/1WFs
2020-10-18,The Haunting of Bly Manor,2020,https://boxd.it/rUdS
2020-10-21,I'm Thinking of Ending Things,2020,https://boxd.it/i4IQ
2020-10-29,Terrorizers,1986,https://boxd.it/2IRG
2020-11-05,"Girl, Interrupted",1999,https://boxd.it/25ds
2020-11-06,Pixote,1981,https://boxd.it/XCs
2020-11-06,Bacurau,2019,https://boxd.it/fSUG
2020-11-06,Invisible Life,2019,https://boxd.it/k1JU
2020-11-06,The Edge of Democracy,2019,https://boxd.it/kLiA
2020-11-06,Bus 174,2002,https://boxd.it/209q
2020-11-06,Don't Call Me Son,2016,https://boxd.it/djN2
2020-11-06,Tito and the Birds,2018,https://boxd.it/jcoQ
2020-12-07,Edge of Seventeen,1998,https://boxd.it/23Ew
2020-12-11,Assassination Nation,2018,https://boxd.it/fSIq
2021-01-07,Lajja,2001,https://boxd.it/pp0
2021-01-11,Long Way North,2015,https://boxd.it/bAhe
2021-03-13,The Founder,2016,https://boxd.it/9XwM
